id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
156488,WB57862,Aberlour A'bunadh Batch 49,93,105,12.9,success,
156495,WB178673,Aberlour A'bunadh Batch 69,83,111,33.7,success,
156496,WB76839,Aberlour A'bunadh Batch 54,104,107,2.9,success,
156498,WB174811,Aberlour 30 Years Old 1990 Whisky-Fassle,115,109,-5.2,success,
156501,WB130896,Glenallachie 13 Years Old 2006 Spirit Of Speyside Festival 2019 Cask Nr.1850,84,121,44.0,success,
156502,WB110825,Aberlour 10 Years Old,117,121,3.4,success,
156503,WB101552,Aberlour 13 Years Old Single Cask Nr.34595,103,115,11.7,success,
156504,WB102739,Arran 1997 Private Owner'S Bottling Cask Nr.245,119,121,1.7,success,
156511,WB106988,Glenmorangie Spos Private Edition,86,113,31.4,success,
156513,WB207711,Aberlour A'bunadh Batch 73,87,107,23.0,success,
156516,WB173384,Aberlour 17 Years Old 2002 Single Cask Selection Nr.4405,108,114,5.6,success,
156517,WB231089,Aberlour A'bunadh Batch 77,115,106,-7.8,success,
156518,WB185075,Aberlour 10 Years Old 2011 Wood Range - Wine Cask Cadenhead's 2021,103,121,17.5,success,
156519,WB215524,Aberlour A'bunadh Batch 74,110,116,5.5,success,
156520,WB90312,Glengoyne Teapot Dram Distillery Only Batch 005,83,111,33.7,success,
156522,WB251891,Aberlour 33 Years Old 1991 Edition No. 92 WhiskySponge,95,114,20.0,success,
156523,WB24802,Ardbeg Alligator Untamed Release ,97,117,20.6,success,
156528,WB113051,Macallan 25 Years Old Sherry Oak 2023 Release,92,123,33.7,success,
156530,WB111839,Caol Ila Cl10 Elements of Islay,111,114,2.7,success,
156532,WB252161,Aberlour 28 Years Old Years Old 1992 Unicorn Series Claxton's,91,111,22.0,success,
156535,WB13374,Bushmills 16 Years Old Matured in Three Woods,85,105,23.5,success,
156537,WB30316,Glenfarclas 1964 Cask Nr.4719,117,108,-7.7,success,
156543,WB21243,Caol Ila Cask Strength  ,102,104,2.0,success,
156545,WB26827,Macallan 25 Years Old,105,108,2.9,success,
156548,WB152182,Miyagikyo Apple Brandy Wood Finish,95,107,12.6,success,
156556,WB67826,Yamazaki Limited Edition 2015,101,132,30.7,success,
156562,WB146876,Kavalan Solist Sherry Cask Nr.S090624018B,88,119,35.2,success,
156563,WB189536,Redbreast 12 Years Old Cask Strength Batch B1/21,104,117,12.5,success,
156565,WB77981,Redbreast 12 Years Old Irish Distillers Ltd,96,124,29.2,success,
156570,WB234134,Redbreast 19 Years Old Small Batch,113,125,10.6,success,
156571,WB221771,Redbreast 18 Years Old Cask Nr.30837,89,106,19.1,success,
156573,WB104261,Redbreast 1997 All Sherry - Single Cask Nr.42884,105,113,7.6,success,
156576,WB218332,Redbreast 2000 Cask Nr.21285 21 Years Old,102,114,11.8,success,
156577,WB104358,Redbreast 2001 All Sherry - Single Cask Nr.18829 16 Years Old,83,114,37.3,success,
156579,WB99647,Chichibu 2009 Japan Warrior Series - Number One Cask Nr.2369,110,116,5.5,success,
156584,WB167028,Glengoyne 12 Years Old Unhurried Since 1833,103,109,5.8,success,
